Title,Partner,Subject,Description,Rating,Level,Duration (in hour),Skills,URL
intuit academy bookkeeping professional certificate,Intuit,Business Essentials,launch career bookkeeping gain professional skill need succeed bookkeeping field degree prior experience required,4.6,Beginner level,80.0,payroll processing balance sheet inventory accounting property accounting accounting software financial statement analysis quickbooks accounting software payroll administration,https://www.coursera.org/professional-certificates/intuit-bookkeeping
accelerate job search ai,Google,Personal Development,course part multiple program learn,4.8,Beginner level,40.0,personal attribute problem solving professional development generative ai interviewing skill writing editing communication,https://www.coursera.org/learn/accelerate-your-job-search-with-ai
meta social medium marketing professional certificate,Meta,Marketing,launch career social medium marketer build jobready skill musthave ai skill indemand career earn credential meta month less degree prior experience required,4.8,Beginner level,40.0,advertising social medium campaign management instagram performance analysis goal setting key performance indicator kpis marketing marketing effectiveness marketing analytics,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
data analysis visualization foundation specialization,IBM,Data Analysis,get ahead w data analysis visualization skill enhance career learning analyze data using excel spreadsheet create stunning visualization interactive dashboard cognos,4.8,Beginner level,40.0,ibm cognos analytics data visualization software data wrangling dashboard big data data mart excel formula data cleansing apache hadoop microsoft excel data mining data collection,https://www.coursera.org/specializations/data-analysis-visualization-foundations
ask question make datadriven decision,Google,Data Analysis,course part google data analytics professional certificate,4.7,Beginner level,40.0,spreadsheet software business analysis problem solving dashboard data presentation data analysis quantitative research datadriven decisionmaking stakeholder communication,https://www.coursera.org/learn/ask-questions-make-decisions
financial engineering risk management specialization,Columbia University,Finance,advance knowledge financial engineering build fundamental technical skill financial engineering,4.6,Intermediate level,80.0,risk modeling derivative market liquidity investment management mathematical modeling capital market applied mathematics financial trading mortgage loan security finance,https://www.coursera.org/specializations/financialengineering
preparing google cloud certification machine learning engineer professional certificate,Google Cloud,Cloud Computing,advance career cloud ml engineer,4.5,Intermediate level,80.0,machine learning kera neural network library mlops machine learning operation cloud computing prompt engineering artificial intelligence machine learning aiml,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
ibm data engineering professional certificate,IBM,Data Management,prepare career data engineer build jobready skill musthave ai skill indemand career earn credential ibm prior experience required,4.7,Beginner level,40.0,ibm cognos analytics database design linux command database administration data store professional networking sql apache hadoop nosql data warehousing apache spark web scraping,https://www.coursera.org/professional-certificates/ibm-data-engineer
management fashion luxury company,Università Bocconi,Leadership and Management,management fashion luxury company,4.7,Beginner level,12.0,brand management consumer behaviour digital medium strategy product development retail store operation communication strategy customer experience strategy cx global marketing,https://www.coursera.org/learn/mafash
leadership skill,IIMA - IIM Ahmedabad,Leadership and Management,leadership skill,4.9,Beginner level,40.0,personal development business leadership mindfulness selfawareness business ethic leadership communication leadership management influencing relationship building empowerment,https://www.coursera.org/learn/leadershipskills
ibm program manager professional certificate,IBM,Leadership and Management,get jobready program manager month build indemand skill prepare pmipgmp certification exam experience required,4.8,Beginner level,80.0,project management stakeholder engagement agile project management resource management agile software development project management life cycle resource allocation user story,https://www.coursera.org/professional-certificates/ibm-program-manager
like lead interact customer online,Google,Marketing,course part google digital marketing ecommerce professional certificate,4.8,Beginner level,40.0,digital advertising content strategy customer engagement social medium management content creation social medium marketing digital marketing target audience advertising campaign,https://www.coursera.org/learn/from-likes-to-leads
aws cloud technology consultant professional certificate,Amazon Web Services,Cloud Computing,start career cloud technology consultant program youll learn indemand skill advise client use cloud technology meet business objective degree experience required,4.8,Beginner level,40.0,teamwork software architecture cloud computing amazon aws identity access management iam professional networking cloud computing architecture cicd cloud management,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
generative ai software development skill certificate,DeepLearning.AI,Software Development,leverage ai software development workflow learn practical prompt engineering pair programming technique llm write test improve code,4.7,Beginner level,40.0,database design system design implementation machine learning collaborative software software architecture large language modeling software engineering technical documentation chatgpt,https://www.coursera.org/professional-certificates/generative-ai-for-software-development
agile project management,Google,Leadership and Management,course part google project management professional certificate,4.8,Beginner level,40.0,sprint retrospective coaching organizational change backlog prioritization team management influencing kanban principle user story problem solving sprint planning agile product development,https://www.coursera.org/learn/agile-project-management
google advanced data analytics professional certificate,Google,Data Analysis,learn indemand skill like statistical analysis python regression model machine learning less month,4.8,Advanced level,40.0,machine learning data visualization software interviewing skill tableau software exploratory data analysis descriptive statistic regression analysis sampling statistic,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
operating system becoming power user,Google,Support and Operations,course part google support professional certificate,4.7,Beginner level,40.0,authorization computing commandline interface linux user account linux administration system administration system monitoring file system remote access system,https://www.coursera.org/learn/os-power-user
introduction psychology,Yale University,Psychology,introduction psychology,4.9,Beginner level,40.0,mental health child development biology critical thinking behavioral health problem solving neurology scientific method human learning mental behavioral health specialty,https://www.coursera.org/learn/introduction-psychology
introduction ai,Google,Machine Learning,course part google ai essential specialization,4.9,Beginner level,40.0,machine learning critical thinking innovation machine learning software data quality generative ai artificial intelligence machine learning aiml,https://www.coursera.org/learn/google-introduction-to-ai
tesol certificate part teach english specialization,Arizona State University,Learning English,tesol certificate part ii teach english apply principle language teaching reading writing listening speaking,4.9,Beginner level,80.0,end user training support grammar technology strategy organizational skill digital transformation education software technology innovation emerging technology teaching,https://www.coursera.org/specializations/tesol-certificate-2
meta io developer professional certificate,Meta,Mobile and Web Development,launch career io developer build jobready skill indemand career earn credential meta degree prior experience required get started,4.6,Beginner level,40.0,usability testing github javascript apple io react native persona user experience interaction design io development unix command user interface ui core data software,https://www.coursera.org/professional-certificates/meta-ios-developer
management consulting specialization,Emory University,Leadership and Management,management consultant career skill tool work like management consultant smarter faster,4.9,Beginner level,40.0,six sigma methodology storytelling management consulting interviewing skill proposal development microsoft powerpoint data cleansing business research executive presence microsoft excel,https://www.coursera.org/specializations/managementconsulting
preparing google cloud certification cloud devops engineer professional certificate,Google Cloud,Cloud Computing,advance career sre devops engineer,4.8,Beginner level,40.0,containerization identity access management event monitoring service level agreement application deployment prompt engineering cloud storage cloud infrastructure,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud
sap business analyst professional certificate,SAP,Business Strategy,launch career business analyst build indemand skill earn credential go beginner jobready less month,4.4,Beginner level,120.0,stakeholder engagement business process modeling process mapping performance measurement business analysis user requirement document stakeholder communication process improvement,https://www.coursera.org/professional-certificates/sap-business-analyst
ibm support professional certificate,IBM,Support and Operations,prepare career support specialist build jobready skill prep comptia itf certification exam prior experience needed,4.8,Beginner level,40.0,cloud computing cybersecurity peripheral device technical support cloud application professional networking network troubleshooting cloud infrastructure cloud computing architecture,https://www.coursera.org/professional-certificates/ibm-technical-support
six sigma yellow belt specialization,Kennesaw State University,Leadership and Management,improve career six sigma knowledge learn proven principle tool improve quality assurance organization,4.7,Beginner level,40.0,six sigma methodology project management statistical process control root cause analysis business process kaizen methodology team management process improvement process capability,https://www.coursera.org/specializations/six-sigma-fundamentals
ibm ai developer professional certificate,IBM,Software Development,kickstart career artificial intelligence build jobready skill ai technology generative ai model programming learn build aipowered chatbots apps month,4.6,Beginner level,40.0,development environment unit testing machine learning software architecture large language modeling flask web framework software engineering chatgpt software development,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
generative ai chatgpt k educator specialization,Vanderbilt University,Education,harness generative ai engaging k teaching learn integrate generative ai teaching create engaging lesson foster student creativity enhance problemsolving classroom,4.8,Beginner level,40.0,creative thinking brainstorming creativity technical communication large language modeling game design productivity chatgpt prompt engineering education software technology innovation,https://www.coursera.org/specializations/generative-ai-k12-educators
ai everyone,DeepLearning.AI,Business Strategy,ai everyone,4.8,Beginner level,40.0,strategic thinking business ethic data ethic artificial neural network deep learning need assessment market opportunity artificial intelligence machine learning aiml,https://www.coursera.org/learn/ai-for-everyone
google cloud cybersecurity professional certificate,Google Cloud,Cloud Computing,launch career cloud cybersecurity build jobready skill musthave ai skill indemand career earn credential google cloud prior experience required,4.6,Beginner level,40.0,data security identity access management threat management cyber threat hunting event monitoring large language modeling cybersecurity intrusion detection prevention,https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate
ibm data analyst professional certificate,IBM,Data Analysis,prepare career data analyst build jobready skill musthave ai skill indemand career earn credential ibm prior experience required,4.7,Beginner level,40.0,ibm cognos analytics data visualization software data wrangling dashboard matplotlib big data exploratory data analysis plotly professional networking excel formula sql microsoft excel,https://www.coursera.org/professional-certificates/ibm-data-analyst
ibm fullstack javascript developer professional certificate,IBM,Software Development,launch fullstack javascript developer career build skill handson experience get jobready four month prior experience required,4.7,Beginner level,160.0,development environment ajax software architecture javascript cloudnative computing azure devops application deployment software development cascading style sheet cs server side,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
generative ai project manager specialization,IBM,Leadership and Management,boost project management career gen ai learn indemand skill gain generative ai expertise advance project management career less month,4.7,Intermediate level,40.0,machine learning project management large language modeling workflow management chatgpt openai ibm cloud prompt engineering project management life cycle image analysis team building,https://www.coursera.org/specializations/generative-ai-for-project-managers
preparing google cloud certification cloud architect professional certificate,Google Cloud,Cloud Computing,advance career cloud architecture,4.7,Intermediate level,40.0,containerization identity access management cloud computing service level agreement application deployment prompt engineering cloud storage cloud infrastructure,https://www.coursera.org/professional-certificates/gcp-cloud-architect
indigenous canada,University of Alberta,History,indigenous canada,4.8,Beginner level,20.0,community development social science social justice socioeconomics land management governance world history storytelling intercultural competence art history cultural diversity,https://www.coursera.org/learn/indigenous-canada
generative ai cybersecurity privacy leader specialization,Vanderbilt University,Security,understand generative ai security best practice learner understand generative aispecific security threat vulnerability mastering strategy enhance organizational preparedness advanced tabletop exercise proactive cybersecurity planning,4.8,Beginner level,40.0,creative thinking personally identifiable information large language modeling cybersecurity productivity chatgpt prompt engineering crossfunctional collaboration incident response,https://www.coursera.org/specializations/generative-ai-cybersecurity-leaders
start ux design process empathize define ideate,Google,Design and Product,course part google ux design professional certificate,4.8,Beginner level,40.0,mockups user research ideation user experience design competitive analysis web content accessibility guideline persona user experience user story human centered design human factor,https://www.coursera.org/learn/start-ux-design-process
generative ai growth marketing specialization,Starweaver,Marketing,ai marketing strategy growth success harness ai tool data strategy launch optimize today modern marketing campaign,4.7,Beginner level,120.0,virtual environment large language modeling ibm cloud image analysis artificial intelligence business ethic content creation,https://www.coursera.org/specializations/generative-ai-for-growth-marketing
global procurement sourcing specialization,Rutgers the State University of New Jersey,Leadership and Management,learn global procurement sourcing review key aspect global procurement sourcing importance procurement firm stakeholder supplier,4.7,Beginner level,40.0,strategic sourcing supply management request quotation rfq vendor management negotiation supply chain management strategic partnership contract negotiation purchasing procurement,https://www.coursera.org/specializations/procurement-sourcing
cloud application development foundation specialization,IBM,Cloud Computing,kickstart career cloud native developer learn foundational frontend backend skill developing deploying application cloud,4.6,Beginner level,80.0,html cs reactjs web design development cloudnative computing javascript framework cloud application server side frontend web development react redux,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
use ai creative expert partner,Google,Machine Learning,course part google prompting essential specialization,4.8,Beginner level,40.0,solution design prompt engineering chatgpt simulation generative ai agent ai personalization ideation,https://www.coursera.org/learn/google-use-ai-as-a-creative-or-expert-partner
devops cloud agile foundation specialization,IBM,Design and Product,devops cloud agile foundation specialization,4.8,Beginner level,40.0,agile project management cloud computing cloudnative computing agile software development test driven development tdd cloud infrastructure cloud computing architecture cicd,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
chatgpt master free ai tool supercharge productivity specialization,Vanderbilt University,Machine Learning,master chatgpts free ai excel work life leverage chatgpts free ai excel planning project management writing data analytics marketing social medium machine learning work life,4.9,Beginner level,40.0,creative thinking brainstorming scenario testing large language modeling productivity chatgpt prompt engineering innovation planning marketing travel arrangement artificial intelligence,https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel
data science fundamental python sql specialization,IBM,Data Analysis,build foundation data science career develop handson experience jupyter python sql perform statistical analysis real data set,4.6,Beginner level,40.0,data analysis software statistic data visualization software dashboard panda python package sql descriptive statistic regression analysis computer programming tool,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
microsoft python development professional certificate,Microsoft,Design and Product,launch career python developer learn indemand python skill become jobready developer less month degree experience required,4.4,Beginner level,160.0,github matplotlib cloud computing flask web framework automation plotly debugging data cleansing scripting agile methodology data visualization version control,https://www.coursera.org/professional-certificates/microsoft-python-developer
ibm data management professional certificate,IBM,Data Management,get jobready first datarelated role build skill handson experience employer looking power resume less month degree prior experience required,4.8,Beginner level,120.0,database design data security dashboard data store excel formula database sql data migration descriptive statistic data governance data warehousing data mining,https://www.coursera.org/professional-certificates/ibm-data-manager
improve english communication skill specialization,Georgia Institute of Technology,Learning English,improve english communication skill write speak professionally english increase business success,4.8,Beginner level,40.0,verbal communication skill cultural diversity interviewing skill writing instagram linkedin sale presentation professional networking social skill business correspondence presentation,https://www.coursera.org/specializations/improve-english
deeplearningai data engineering professional certificate,DeepLearning.AI,Cloud Computing,learn principle effective data engineering build skill highdemand field data engineering learn deliver real business value applying core set principle strategy developing data system,4.8,Intermediate level,120.0,data integration database system requirement analysis apache hadoop data processing data storage technology data warehousing query language data transformation data modeling,https://www.coursera.org/professional-certificates/data-engineering
generative ai software developer specialization,IBM,Software Development,boost software development career gen ai build indemand handson generative ai skill elevating software engineering game month less,4.6,Intermediate level,40.0,software architecture application security large language modeling software engineering chatgpt openai ibm cloud software development natural language processing prompt engineering,https://www.coursera.org/specializations/generative-ai-for-software-developers
ai product management specialization,Duke University,Machine Learning,manage design development ml product understand machine learning work applied solve problem learn apply data science process best practice lead machine learning project develop humancentered ai product ensure privacy ethical standard,4.7,Beginner level,160.0,product design machine learning user experience design project management mlops machine learning operation applied machine learning unsupervised learning human computer interaction,https://www.coursera.org/specializations/ai-product-management-duke
generative ai strategic leader specialization,Vanderbilt University,Business Strategy,master ai research strategic leadership master generative ai research transform strategic decisionmaking competitive intelligence,4.8,Beginner level,40.0,workflow management agentic system automation productivity chatgpt prompt engineering artificial intelligence machine learning aiml planning procurement talent acquisition,https://www.coursera.org/specializations/generative-ai-strategic-leader
method statistic social science specialization,University of Amsterdam,Governance and Society,critically analyze research result using r learn recognize sloppy science perform solid research appropriate data analysis,4.6,Beginner level,120.0,qualitative research r programming research design statistic research report interviewing skill research scientific method science research report writing social science survey,https://www.coursera.org/specializations/social-science
writing science,Stanford University,Basic Science,writing science,4.9,Beginner level,40.0,ethical standard conduct peer review writing grant writing medium communication technical communication scientific method journal research grammar editing technical writing,https://www.coursera.org/learn/sciwrite
preparing google cloud certification cloud network engineer professional certificate,Google Cloud,Cloud Computing,advance career cloud networking engineer,4.7,Intermediate level,40.0,network monitoring containerization identity access management network routing prompt engineering cloud storage network troubleshooting cloud infrastructure,https://www.coursera.org/professional-certificates/google-cloud-networking
salesforce sale operation professional certificate,Salesforce,Business Essentials,launch career salesforce learn foundational skill salesforce needed start new career,4.6,Beginner level,40.0,sale support request quotation rfq product knowledge dashboard salesforce lead generation campaign management customer relationship management bb sale sale enablement sale process,https://www.coursera.org/professional-certificates/salesforce-sales-operations
foundation digital marketing ecommerce,Google,Marketing,course part google digital marketing ecommerce professional certificate,4.8,Beginner level,40.0,content performance analysis branding business metric search engine optimization datadriven decisionmaking marketing strategy technique performance measurement digital marketing,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce
ai healthcare specialization,Stanford University,Machine Learning,ai healthcare specialization,4.7,Beginner level,40.0,electronic medical record machine learning applied machine learning health system clinical data management artificial intelligence machine learning aiml,https://www.coursera.org/specializations/ai-healthcare
healthcare law specialization,University of Pennsylvania,Healthcare Management,healthcare law specialization,4.8,Intermediate level,40.0,health care procedure regulation general data protection regulation gdpr personally identifiable information health system intellectual property health disparity health policy,https://www.coursera.org/specializations/healthcare-law
generative ai leader professional certificate,Google Cloud,Cloud Computing,reimagine workflow google cloud gen ai,4.6,Beginner level,40.0,google workspace large language modeling workflow management cloud computing prompt engineering innovation cloud infrastructure cloud solution data governance google cloud platform,https://www.coursera.org/professional-certificates/generative-ai-for-leaders
science wellbeing,Yale University,Personal Development,science wellbeing,4.9,Beginner level,18.0,productivity psychology social skill positive behavior support resilience behavioral economics mindfulness mental health selfawareness goal setting,https://www.coursera.org/learn/the-science-of-well-being
ibm uiux designer professional certificate,IBM,Design and Product,unlock uiux career jobready skill build skill handson experience employer looking including figma miro month,4.8,Beginner level,160.0,user experience information architecture usability testing figma design software usability user research agile software development user interface ui,https://www.coursera.org/professional-certificates/ibm-ui-ux-designer
generative ai leadership strategy specialization,Vanderbilt University,Leadership and Management,mastering generative ai strategic advantage empower leadership suite transformative potential generative ai,4.8,Beginner level,40.0,creativity verification validation large language modeling ideation productivity chatgpt data validation prompt engineering proposal writing leadership management succession planning,https://www.coursera.org/specializations/generative-ai-leadership-strategy
preparing google cloud certification cloud data engineer professional certificate,Google Cloud,Machine Learning,advance career data engineering,4.6,Intermediate level,40.0,data infrastructure dashboard big data mlops machine learning operation cloud storage cloud infrastructure data processing google cloud platform data warehousing real time data,https://www.coursera.org/professional-certificates/gcp-data-engineering
epic game game design professional certificate,Epic Games,Design and Product,launch career game learn create world captivate inspire building indemand skill foundation game design unreal engine prior experience required,4.3,Beginner level,120.0,user experience modeling user experience design virtual environment video game development unreal engine ideation game design usability computer graphic software documentation,https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate
ibm ai foundation business specialization,IBM,Machine Learning,ibm ai foundation business specialization,4.7,Beginner level,40.0,information architecture business strategy big data cloud computing computer science data strategy chatgpt natural language processing digital transformation data governance data mining,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
natural language processing specialization,DeepLearning.AI,Machine Learning,break nlp master cuttingedge nlp technique four handson course updated tensorflow lab december,4.6,Intermediate level,120.0,machine learning algorithm machine learning method markov model kera neural network library text mining pytorch machine learning library artificial neural network,https://www.coursera.org/specializations/natural-language-processing
prepare data exploration,Google,Data Analysis,course part google data analytics professional certificate,4.8,Beginner level,40.0,data quality database data literacy data management data storage relational database data analysis sql data collection data security data ethic google sheet unstructured data,https://www.coursera.org/learn/data-preparation
people soft skill professional personal success specialization,IBM,Personal Development,develop key power skill boost work life master powerful people soft skill achieving professional success,4.6,Beginner level,40.0,constructive feedback verbal communication skill creative thinking persuasive communication teamwork virtual team professional development root cause analysis client service,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success
generative ai educator teacher specialization,Vanderbilt University,Education,innovate classroom school master technique using chatgpt enhance rather harm education,4.9,Beginner level,120.0,brainstorming verification validation data synthesis ideation game design lesson planning chatgpt openai data validation prompt engineering risk management framework organizational skill,https://www.coursera.org/specializations/generative-ai-for-educators-teachers
reinforcement learning specialization,University of Alberta,Machine Learning,master concept reinforcement learning implement complete rl solution understand apply ai tool solve realworld problem,4.8,Intermediate level,80.0,machine learning algorithm machine learning markov model simulation artificial neural network supervised learning debugging artificial intelligence machine learning aiml,https://www.coursera.org/specializations/reinforcement-learning
google data analytics professional certificate,Google,Data Analysis,get fast track career data analytics certificate program youll learn indemand skill get ai training google expert learn pace degree experience required,4.8,Beginner level,40.0,data visualization software interviewing skill professional development tableau software rmarkdown linkedin data validation stakeholder communication data cleansing data literacy,https://www.coursera.org/professional-certificates/google-data-analytics
renew cbr professional installer certification,Google - Spectrum Sharing,Networking,renew cbr professional installer certification,4.8,Advanced level,2.0,configuration management wireless network global positioning system key management network infrastructure authorization computing telecommunication,https://www.coursera.org/learn/google-cbrs-cpi-renewal
key technology business specialization,IBM,Business Essentials,get ahead key business technology gain foundational understanding key technology driving modern business,4.8,Beginner level,40.0,business big data cloud computing computer science chatgpt natural language processing cloud infrastructure cloud computing architecture data governance data mining cloud hosting,https://www.coursera.org/specializations/key-technologies-for-business
play safe manage security risk,Google,Computer Security and Networks,course part google cybersecurity professional certificate,4.8,Beginner level,40.0,incident response business risk management security control risk management cybersecurity vulnerability management threat management auditing enterprise security risk management framework,https://www.coursera.org/learn/manage-security-risks
sap technology consultant professional certificate,SAP,Leadership and Management,unlock potential sap consulting build core skill sap partner customer searching across world kickstart exciting sap career,4.7,Beginner level,280.0,technical design project management stakeholder engagement cloud computing cybersecurity technical consulting solution design professional networking digital transformation,https://www.coursera.org/professional-certificates/sap-technology-consultant
